id,recipe_name,user_id,total_time,time_in_min,servings,ingredients,instructions,key_words,img,visibility,created_at
1,Pumpkin Soup,1,"45 mins",45,4,"1 kg pumpkin, 2 tbsp olive oil, 1 onion, 800 ml vegetable broth, salt, pepper, bay leaf, nutmeg, 100 g cream","Peel and chop the pumpkin and onion. Saute onion, then add the pumpkin and stir for a few minutes. Then add broth and simmer for simmer 25 mins. Blend and add cream.","dinner, lunch, soup, vegetarian","https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZmY2Njg2LWltYWdlLWt3dnlqcnliLmpwZw.jpg","public","2024-06-01 10:00:00"
2,Apple pie,1,"1 hr 30 mins",90,8,"5 apples, 200 g flour, 100 g butter, 80 g sugar, 1 tsp cinnamon, 1 tbsp lemon juice, pinch of salt","Prepare dough, mix apples with sugar and cinnamon, fill crust, bake 50 mins at 180°C.","dessert, pie","https://live.staticflickr.com/4515/38609683366_7a80475e1d_b.jpg","private","2024-06-02 11:30:00"
3,Caesar Salad,2,"20 mins",20,2,"1 romaine lettuce, 100 g croutons, 50 g parmesan cheese, 150 g chicken breast, Caesar dressing","Grill chicken and slice. Toss lettuce with dressing, top with chicken, croutons, and parmesan.","salad, lunch, meat, chicken","https://upload.wikimedia.org/wikipedia/commons/4/4c/Tasty_Food_%28232263461%29.jpeg","private","2024-06-03 12:15:00"
4,Chocolate Chip Cookies,3,"30 mins",30,24,"200 g flour, 100 g butter, 150 g sugar, 1 egg, 1 tsp vanilla extract, 150 g chocolate chips, 1 tsp baking soda, pinch of salt","Mix dry ingredients. Cream butter and sugar, add egg and vanilla. Combine with dry ingredients and fold in chocolate chips. Bake 10-12 mins at 180°C.","dessert, cookies, snack","https://live.staticflickr.com/7206/6858180551_babaac4d46_b.jpg","followers","2024-06-04 14:00:00"
5,Spagghetti Bolognese,2,"1 hr",60,4,"400 g spaghetti, 2 carrots, 2 stalks of greens, 300 g ground beef, 1 onion, 2 garlic cloves, 400 g canned tomatoes, 2 tbsp olive oil, salt, pepper, basil","Cook spaghetti. Saute onion,garlic, carrots and stalks of greens, add beef and brown. Add tomatoes and simmer 40 mins. Serve sauce over spaghetti.","dinner, pasta, meat","https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL2Zyc3BhZ2hldHRpX25vb2RsZXNfcGFzdGFfZm9vZC1pbWFnZS1reWJhbGhidS5qcGc.jpg","public","2024-06-05 15:45:00"
6,Greek Salad,3,"15 mins",15,2,"2 tomatoes, 1 cucumber, 1 green bell pepper, 100 g feta cheese, 50 g olives, 1 red onion, 2 tbsp olive oil, 1 tbsp lemon juice, oregano, salt, pepper","Chop vegetables and combine in a bowl. Add olives and feta. Drizzle with olive oil and lemon juice. Season with oregano, salt, and pepper.","salad, vegetarian, lunch","https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcHg3Njc5MDItaW1hZ2Uta3d5b2xrMXMuanBn.jpg","public","2024-06-06 09:20:00"
7,Banana Bread,4,"1 hr 10 mins",70,8,"3 ripe bananas, 200 g flour, 100 g sugar, 100 g butter, 2 eggs, 1 tsp baking soda, pinch of salt, 1 tsp vanilla extract","Mash bananas. Mix dry ingredients. Cream butter and sugar, add eggs and vanilla. Combine with dry ingredients and mashed bananas. Bake 60 mins at 175°C.","dessert, bread, snack","https://live.staticflickr.com/285/32280446210_d24500c6f0_b.jpg","followers","2024-06-07 16:10:00"
8,Chicken Curry,2,"50 mins",50,4,"500 g chicken breast, 2 onions, 3 garlic cloves, 1 tbsp ginger, 2 tbsp curry powder, 400 ml coconut milk, 2 tbsp vegetable oil, salt, pepper","Saute onions, garlic and ginger. Add chicken and brown. Stir in curry powder, then add coconut milk. Simmer 30 mins. Season with salt and pepper.","dinner, curry, meat","https://upload.wikimedia.org/wikipedia/commons/b/b7/Chicken_curry_Trivandrum.jpg","public","2024-06-08 13:35:00"
9,Veggie Stir-fry,3,"25 mins",25,3,"1 broccoli head, 2 carrots, 1 bell pepper, 100 g snap peas, 2 tbsp soy sauce, 1 tbsp sesame oil, 2 garlic cloves, 1 tsp ginger","Chop vegetables. Heat sesame oil in a wok, add garlic and ginger. Stir-fry vegetables for 5-7 mins. Add soy sauce and cook for another 2 mins.","dinner, vegetarian, stir-fry","https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL2ZycGFuX3ZlZ2V0YWJsZXNfY29va18xNTgzMTUyLWltYWdlLWt5YmF5Nzk5LmpwZw.jpg","public","2024-06-09 11:50:00"
10,Omelette,1,"15 mins",15,1,"3 eggs, 50 g cheese, 1 tomato, 1 green onion, salt, pepper, 1 tbsp butter","Beat eggs with salt and pepper. Melt butter in a pan, pour in eggs. Add chopped tomato and green onion. Cook until set, sprinkle cheese on top and fold.","breakfast, quick, vegetarian","https://live.staticflickr.com/65535/52666532927_b53025aff5_b.jpg","public","2024-06-10 08:30:00"
11,Beef Tacos,2,"30 mins",30,4,"400 g ground beef, 8 taco shells, 1 onion, 2 garlic cloves, 1 tbsp taco seasoning, lettuce, tomato, cheese, salsa","Cook ground beef with onion, garlic and taco seasoning. Fill taco shells with beef mixture and top with lettuce, tomato, cheese and salsa.","dinner, tacos, meat","https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvbnMxMzcwNC1pbWFnZS1rd3lzMG1hdi5qcGc.jpg","public","2024-06-11 17:25:00"
12,Pancakes,1,"20 mins",20,4,"200 g flour, 2 eggs, 300 ml milk, 1 tbsp sugar, pinch of salt, oil for cooking","Mix dry ingredients. Whisk in eggs and milk until smooth. Heat oil in a pan and cook pancakes until golden on both sides.","breakfast, dinner, quick, sweet","https://live.staticflickr.com/25/42054471_7ad953b8ca_b.jpg","public","2024-06-12 09:15:00"
